Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,GarageCars,Overall
1,60,RL,65.0,8450.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,CollgCr,1Fam,2Story,7.0,5.0,2003.0,2003,2,6.0
2,20,RL,80.0,9600.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Veenker,1Fam,1Story,6.0,8.0,1976.0,1976,2,7.0
3,60,RL,68.0,11250.0,Pave,Grvl,IR1,Lvl,AllPub,Inside,CollgCr,1Fam,2Story,7.0,5.0,2001.0,2002,2,6.0
4,70,RL,60.0,9550.0,Pave,Grvl,IR1,Lvl,AllPub,Corner,Crawfor,1Fam,2Story,7.0,5.0,1915.0,1970,3,6.0
5,60,RL,84.0,14260.0,Pave,Grvl,IR1,Lvl,AllPub,FR2,NoRidge,1Fam,2Story,8.0,5.0,1971.0,2000,3,6.5
6,50,RL,85.0,9591.0,Pave,Grvl,IR1,Lvl,AllPub,Inside,Mitchel,1Fam,1.5Fin,5.0,5.0,1993.0,1995,2,5.0
7,20,RL,75.0,10084.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Somerst,1Fam,1Story,8.0,5.0,2004.0,2005,2,6.5
8,60,RL,70.0,10382.0,Pave,Grvl,IR1,Lvl,AllPub,Inside,NWAmes,1Fam,2Story,7.0,6.0,1973.0,1973,2,6.5
9,50,RM,51.0,6120.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,OldTown,1Fam,1.5Fin,6.0,5.0,1931.0,1950,2,5.5
10,190,RL,50.0,7420.0,Pave,Grvl,Reg,Lvl,AllPub,Corner,BrkSide,2fmCon,1Story,5.0,6.0,1939.0,1950,1,5.5
11,20,RL,70.0,11200.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Sawyer,1Fam,1Story,5.0,5.0,1965.0,1965,1,5.0
12,60,RL,85.0,11924.0,Pave,Grvl,IR1,Lvl,AllPub,Inside,NridgHt,1Fam,2Story,9.0,5.0,2005.0,2006,3,7.0
13,20,RL,70.0,12968.0,Pave,Grvl,IR2,Lvl,AllPub,Inside,Sawyer,1Fam,1Story,5.0,6.0,1962.0,1962,1,5.5
14,20,RL,91.0,10652.0,Pave,Grvl,IR1,Lvl,AllPub,Inside,CollgCr,1Fam,1Story,7.0,5.0,2006.0,2007,3,6.0
15,20,RL,70.0,10920.0,Pave,Grvl,IR1,Lvl,AllPub,Corner,NAmes,1Fam,1Story,6.0,5.0,1971.0,1960,1,5.5
16,45,RM,51.0,6120.0,Pave,Grvl,Reg,Lvl,AllPub,Corner,BrkSide,1Fam,1.5Unf,6.0,8.0,1929.0,2001,2,7.0
17,20,RL,70.0,11241.0,Pave,Grvl,IR1,Lvl,AllPub,CulDSac,NAmes,1Fam,1Story,6.0,7.0,1970.0,1970,2,6.5
18,90,RL,72.0,10791.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Sawyer,Duplex,1Story,4.0,5.0,1967.0,1967,2,4.5
19,20,RL,66.0,9591.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,SawyerW,1Fam,1Story,5.0,5.0,2004.0,2004,2,5.0
20,20,RL,70.0,7560.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,NAmes,1Fam,1Story,5.0,6.0,1958.0,1965,1,5.5
21,60,RL,101.0,14215.0,Pave,Grvl,IR1,Lvl,AllPub,Corner,NridgHt,1Fam,2Story,8.0,5.0,2005.0,2006,3,6.5
22,45,RM,57.0,7449.0,Pave,Grvl,Reg,Bnk,AllPub,Inside,IDOTRR,1Fam,1.5Unf,7.0,7.0,1930.0,1950,1,7.0
23,20,RL,75.0,9742.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,CollgCr,1Fam,1Story,8.0,5.0,2002.0,2002,2,6.5
24,120,RM,44.0,4224.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,MeadowV,TwnhsE,1Story,5.0,7.0,1976.0,1976,2,6.0
25,20,RL,70.0,8246.0,Pave,Grvl,IR1,Lvl,AllPub,Inside,Sawyer,1Fam,1Story,5.0,8.0,1968.0,2001,1,6.5
26,20,RL,110.0,14230.0,Pave,Grvl,Reg,Lvl,AllPub,Corner,NridgHt,1Fam,1Story,8.0,5.0,2007.0,2007,3,6.5
27,20,RL,60.0,7200.0,Pave,Grvl,Reg,Lvl,AllPub,Corner,NAmes,1Fam,1Story,5.0,7.0,1951.0,2000,2,6.0
28,20,RL,98.0,11478.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,NridgHt,1Fam,1Story,8.0,5.0,2007.0,2008,3,6.5
29,20,RL,47.0,16321.0,Pave,Grvl,IR1,Lvl,AllPub,CulDSac,NAmes,1Fam,1Story,5.0,6.0,1957.0,1997,1,5.5
30,30,RM,60.0,6324.0,Pave,Grvl,IR1,Lvl,AllPub,Inside,BrkSide,1Fam,1Story,4.0,5.0,1927.0,1950,1,4.5
31,70,C (all),50.0,8500.0,Pave,Pave,Reg,Lvl,AllPub,Inside,IDOTRR,1Fam,2Story,4.0,4.0,1920.0,1950,1,4.0
32,20,RL,70.0,8544.0,Pave,Grvl,IR1,Lvl,AllPub,CulDSac,Sawyer,1Fam,1Story,5.0,6.0,1966.0,2006,1,5.5
33,20,RL,85.0,11049.0,Pave,Grvl,Reg,Lvl,AllPub,Corner,CollgCr,1Fam,1Story,6.0,5.0,2007.0,2007,2,5.5
34,20,RL,70.0,10552.0,Pave,Grvl,IR1,Lvl,AllPub,Inside,NAmes,1Fam,1Story,5.0,5.0,1959.0,1959,2,5.0
35,120,RL,60.0,7313.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,NridgHt,TwnhsE,1Story,9.0,5.0,2005.0,2005,2,7.0
36,60,RL,108.0,13418.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,NridgHt,1Fam,2Story,8.0,5.0,2004.0,2005,3,6.5
37,20,RL,112.0,10859.0,Pave,Grvl,Reg,Lvl,AllPub,Corner,CollgCr,1Fam,1Story,5.0,5.0,1994.0,1995,2,5.0
38,20,RL,74.0,9591.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,NAmes,1Fam,1Story,5.0,6.0,1954.0,1990,2,5.5
39,20,RL,68.0,7922.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,NAmes,1Fam,1Story,5.0,7.0,1953.0,2007,1,6.0
40,90,RL,65.0,6040.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Edwards,Duplex,1Story,4.0,5.0,1955.0,1955,0,4.5
41,20,RL,84.0,8658.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,NAmes,1Fam,1Story,6.0,5.0,1965.0,1965,2,5.5
42,20,RL,115.0,16905.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Timber,1Fam,1Story,5.0,6.0,1959.0,1959,1,5.5
43,85,RL,70.0,9180.0,Pave,Grvl,IR1,Lvl,AllPub,CulDSac,SawyerW,1Fam,SFoyer,5.0,7.0,1983.0,1983,2,6.0
44,20,RL,70.0,9200.0,Pave,Grvl,IR1,Lvl,AllPub,CulDSac,CollgCr,1Fam,1Story,5.0,6.0,1975.0,1980,1,5.5
45,20,RL,70.0,7945.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,NAmes,1Fam,1Story,5.0,6.0,1959.0,1959,1,5.5
46,120,RL,61.0,7658.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,NridgHt,TwnhsE,1Story,9.0,5.0,2005.0,2005,2,7.0
47,50,RL,48.0,12822.0,Pave,Grvl,IR1,Lvl,AllPub,CulDSac,Mitchel,1Fam,1.5Fin,7.0,5.0,1971.0,2003,2,6.0
48,20,FV,84.0,11096.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Somerst,1Fam,1Story,6.0,5.0,2006.0,2006,3,5.5
49,190,RM,33.0,4456.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,OldTown,2fmCon,2Story,4.0,5.0,1920.0,2008,0,4.5
50,20,RL,66.0,7742.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Sawyer,1Fam,1Story,5.0,7.0,1966.0,1966,1,6.0
51,60,RL,70.0,13869.0,Pave,Grvl,IR2,Lvl,AllPub,Corner,Gilbert,1Fam,2Story,6.0,6.0,1997.0,1997,2,6.0
52,50,RM,52.0,6240.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,BrkSide,1Fam,1Story,6.0,6.0,1934.0,1950,2,6.0
53,90,RM,110.0,8472.0,Grvl,Grvl,IR2,Bnk,AllPub,Corner,IDOTRR,Duplex,1Story,5.0,5.0,1963.0,1963,2,5.0
54,20,RL,68.0,50271.0,Pave,Grvl,IR1,Low,AllPub,Inside,Veenker,1Fam,1Story,9.0,5.0,1981.0,1987,3,7.0
55,80,RL,60.0,7134.0,Pave,Grvl,Reg,Bnk,AllPub,Inside,NAmes,1Fam,SLvl,5.0,5.0,1955.0,1955,2,5.0
56,20,RL,100.0,10175.0,Pave,Grvl,IR1,Lvl,AllPub,Inside,NAmes,1Fam,1Story,6.0,5.0,1964.0,1964,2,5.5
57,160,FV,24.0,2645.0,Pave,Pave,Reg,Lvl,AllPub,Inside,Somerst,Twnhs,2Story,8.0,5.0,1999.0,2000,2,6.5
58,60,RL,89.0,11645.0,Pave,Grvl,IR1,Lvl,AllPub,Corner,CollgCr,1Fam,2Story,7.0,5.0,2004.0,2004,2,6.0
59,60,RL,66.0,13682.0,Pave,Grvl,IR2,HLS,AllPub,CulDSac,StoneBr,1Fam,2Story,10.0,5.0,2006.0,2006,3,7.5
60,20,RL,60.0,7200.0,Pave,Grvl,Reg,Bnk,AllPub,Inside,CollgCr,1Fam,1Story,5.0,7.0,1972.0,1972,1,6.0
61,20,RL,63.0,13072.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,SawyerW,1Fam,1Story,6.0,5.0,2004.0,2004,2,5.5
62,75,RM,60.0,7200.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,IDOTRR,1Fam,2.5Unf,5.0,7.0,1920.0,1996,1,6.0
63,120,RL,44.0,6442.0,Pave,Grvl,IR1,Lvl,AllPub,Inside,NridgHt,TwnhsE,1Story,8.0,5.0,2006.0,2006,2,6.5
64,70,RM,50.0,10300.0,Pave,Grvl,IR1,Bnk,AllPub,Inside,OldTown,1Fam,2Story,7.0,6.0,1921.0,1950,2,6.5
65,60,RL,70.0,9375.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,CollgCr,1Fam,2Story,7.0,5.0,1997.0,1998,2,6.0
66,60,RL,76.0,9591.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,NridgHt,1Fam,2Story,8.0,5.0,2004.0,2005,3,6.5
67,20,RL,70.0,19900.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,NAmes,1Fam,1Story,7.0,5.0,1970.0,1989,2,6.0
68,20,RL,72.0,10665.0,Pave,Grvl,IR1,Lvl,AllPub,Inside,CollgCr,1Fam,1Story,7.0,5.0,2003.0,2003,2,6.0
69,30,RM,47.0,4608.0,Pave,Grvl,Reg,Lvl,AllPub,Corner,OldTown,1Fam,1Story,6.0,6.0,1971.0,1950,1,6.0
70,50,RL,81.0,15593.0,Pave,Grvl,Reg,Lvl,AllPub,Corner,ClearCr,1Fam,1.5Fin,7.0,4.0,1953.0,1953,2,5.5
71,20,RL,95.0,13651.0,Pave,Grvl,IR1,Lvl,AllPub,Inside,NAmes,1Fam,1Story,7.0,6.0,1973.0,1973,2,6.5
72,20,RL,69.0,7599.0,Pave,Grvl,Reg,Lvl,AllPub,Corner,Mitchel,1Fam,1Story,4.0,5.0,1982.0,2006,2,4.5
73,60,RL,74.0,10141.0,Pave,Grvl,IR1,Lvl,AllPub,Corner,Gilbert,1Fam,2Story,7.0,5.0,1998.0,1998,2,6.0
74,20,RL,85.0,9591.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,NAmes,1Fam,1Story,5.0,7.0,1954.0,2003,2,6.0
75,50,RM,60.0,5790.0,Pave,Grvl,Reg,Lvl,AllPub,Corner,OldTown,1Fam,2Story,3.0,6.0,1915.0,1950,1,4.5
76,180,RM,21.0,1596.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,MeadowV,Twnhs,SLvl,4.0,5.0,1973.0,1973,1,4.5
77,20,RL,70.0,8475.0,Pave,Grvl,IR1,Lvl,AllPub,Inside,NAmes,1Fam,1Story,4.0,7.0,1971.0,1956,1,5.5
78,50,RM,50.0,8635.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,BrkSide,1Fam,1.5Fin,5.0,5.0,1948.0,2001,1,5.0
79,90,RL,72.0,10778.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Sawyer,Duplex,1Story,4.0,5.0,1968.0,1968,0,4.5
80,50,RM,60.0,10440.0,Pave,Grvl,Reg,Lvl,AllPub,Corner,OldTown,1Fam,2Story,5.0,6.0,1910.0,1981,2,5.5
81,60,RL,100.0,13000.0,Pave,Grvl,Reg,Lvl,AllPub,Corner,NAmes,1Fam,2Story,6.0,6.0,1968.0,1968,1,6.0
82,120,RM,32.0,4500.0,Pave,Grvl,Reg,Lvl,AllPub,FR2,Mitchel,TwnhsE,1Story,6.0,5.0,1998.0,1998,2,5.5
83,20,RL,78.0,10206.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Somerst,1Fam,1Story,8.0,5.0,1971.0,2007,3,6.5
84,20,RL,80.0,8892.0,Pave,Grvl,IR1,Lvl,AllPub,Inside,NAmes,1Fam,1Story,5.0,5.0,1960.0,1960,2,5.0
85,80,RL,70.0,8530.0,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gilbert,1Fam,SLvl,7.0,5.0,1995.0,1996,2,6.0
86,60,RL,121.0,16059.0,Pave,Grvl,Reg,Lvl,AllPub,Corner,NoRidge,1Fam,2Story,8.0,5.0,1991.0,1992,2,6.5
87,60,RL,122.0,11911.0,Pave,Grvl,IR2,Lvl,AllPub,Inside,Gilbert,1Fam,2Story,6.0,5.0,2005.0,2005,2,5.5
88,160,FV,40.0,3951.0,Pave,Pave,Reg,Lvl,AllPub,Corner,Somerst,TwnhsE,2Story,6.0,5.0,2009.0,2009,2,5.5
89,50,C (all),105.0,8470.0,Pave,Grvl,IR1,Lvl,AllPub,Corner,IDOTRR,1Fam,1.5Fin,3.0,2.0,1915.0,1982,0,2.5
90,20,RL,60.0,8070.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,CollgCr,1Fam,1Story,4.0,5.0,1994.0,1995,0,4.5
91,20,RL,60.0,7200.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,NAmes,1Fam,1Story,4.0,5.0,1971.0,1950,2,4.5
92,20,RL,85.0,8500.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,NAmes,1Fam,1Story,5.0,3.0,1961.0,1961,2,4.0
93,30,RL,80.0,13360.0,Pave,Grvl,IR1,HLS,AllPub,Inside,Crawfor,1Fam,1Story,5.0,7.0,1921.0,2006,2,6.0
94,190,C (all),60.0,7200.0,Pave,Grvl,Reg,Lvl,AllPub,Corner,OldTown,2fmCon,2.5Unf,6.0,6.0,1910.0,1998,2,6.0
95,60,RL,69.0,9337.0,Pave,Grvl,IR1,Lvl,AllPub,Inside,CollgCr,1Fam,2Story,6.0,5.0,1997.0,1997,2,5.5
96,60,RL,70.0,9765.0,Pave,Grvl,IR2,Lvl,AllPub,Corner,Gilbert,1Fam,2Story,6.0,5.0,1993.0,1993,2,5.5
97,20,RL,78.0,10264.0,Pave,Grvl,IR1,Lvl,AllPub,Inside,CollgCr,1Fam,1Story,7.0,5.0,1999.0,1999,2,6.0
98,20,RL,73.0,10921.0,Pave,Grvl,Reg,HLS,AllPub,Inside,Edwards,1Fam,1Story,4.0,5.0,1965.0,1965,1,4.5
99,30,RL,85.0,10625.0,Pave,Grvl,Reg,Lvl,AllPub,Corner,Edwards,1Fam,1Story,5.0,5.0,1920.0,1950,1,5.0
